Season,Week,Team.Name,Team.1.Player,Team.1.Skill,Team.1.Archetype,Gauntlet,,Team.2.Archetype,Team.2.Skill,Team.2.Player,Wins,Losses,,For Matchup Table,Filtering by week
Season 3,Week 1,The Immortals,Kazaarus,NA,Masked Heroes,W,L,Fur Hire,NA,NA-,1,0,,Masked HeroesFur Hire,
Season 3,Week 1,The Immortals,Kazaarus,NA,Masked Heroes,W,L,Masked Heroes,NA,NA-,1,0,,Masked HeroesMasked Heroes,
Season 3,Week 1,The Immortals,Kazaarus,NA,Masked Heroes,L,W,Amazoness,NA,kcful,0,1,,,
Season 3,Week 1,The Immortals,Kazaarus,NA,Fur Hire,W,L,Amazoness,NA,kcful,1,0,,Fur HireAmazoness,
Season 3,Week 1,The Immortals,Kazaarus,NA,Fur Hire,L,W,Fur Hire,NA,kcful,0,1,,,
Season 3,Week 1,The Immortals,Ace,NA,Masked Heroes,L,W,Fur Hire,NA,kcful,0,1,,,
Season 3,Week 1,The Immortals,Ace,NA,Fur Hire,L,W,Fur Hire,NA,kcful,0,1,,,
Season 3,Week 1,The Immortals,Nog,NA,Amazoness,W,L,Fur Hire,NA,kcful,1,0,,AmazonessFur Hire,
Season 3,Week 1,The Immortals,Nog,NA,Amazoness,L,W,Fur Hire,NA,Sterben,0,1,,,
Season 3,Week 1,The Immortals,Nog,NA,Masked Heroes,L,W,Fur Hire,NA,Sterben,0,1,,,
Season 3,Week 1,The Immortals,Xaphoon,NA,Spellbooks,L,W,Fur Hire,NA,Sterben,0,1,,,
Season 3,Week 1,The Immortals,Xaphoon,NA,Masked Heroes,L,W,Fur Hire,NA,Sterben,0,1,,,
Season 3,Week 1,The Immortals,Fufufu420,NA,Amazoness,L,W,Fur Hire,NA,Sterben,0,1,,,
Season 3,Week 1,The Immortals,Fufufu420,NA,Fur Hire,L,W,Fur Hire,NA,Sterben,0,1,,,
Season 3,Week 1,Odyssey,NA-,NA,Fur Hire,L,W,Masked Heroes,NA,Kazaarus,0,1,,,
Season 3,Week 1,Odyssey,NA-,NA,Masked Heroes,L,W,Masked Heroes,NA,Kazaarus,0,1,,,
Season 3,Week 1,Odyssey,kcful,NA,Amazoness,W,L,Masked Heroes,NA,Kazaarus,1,0,,AmazonessMasked Heroes,
Season 3,Week 1,Odyssey,kcful,NA,Amazoness,L,W,Fur Hire,NA,Kazaarus,0,1,,,
Season 3,Week 1,Odyssey,kcful,NA,Fur Hire,W,L,Fur Hire,NA,Kazaarus,1,0,,Fur HireFur Hire,
